name,positions,rating,nationality,club,league
P. Wolański,GK,55,Poland,Midtjylland,Superliga
P. Wollscheid,CB,76,Germany,Bayer 04 Leverkusen,Bundesliga
P. Wood,ST,53,Australia,Sydney,A-League
P. Woolston,GK,59,England,Manchester United,Premier League
P. Wotton,CB; CDM,57,England,Plymouth Argyle,League Two
P. Wszołek,CAM; LM,68,Poland,U.C. Sampdoria,Serie A
P. Wålemark,RW,50,Sweden,Häcken,Allsvenskan
P. Yade,LW; RW,64,Senegal,Metz,Ligue 1
P. Yakovlev,LW; RW,73,Russia,Spartak Moskva,Premier League
P. Yazbek,CAM,52,Australia,Sydney,A-League
P. Yeboah,CF,59,Ghana,Hellas Verona,Serie A
P. Yrizar,ST,61,Mexico,Gallos Blancos de Querétaro,Liga MX
P. Zabaleta,RB,82,Argentina,Manchester City,Premier League
P. Zaidan,LB,56,Guinea,Nîmes,Ligue 2
P. Zanev,LB,68,Bulgaria,Amkar Perm,Premier League
P. Zaragoza,ST,57,Venezuela,Mineros de Guayana,Primera Division
P. Zaucha,LM,53,Poland,Cracovia,Ekstraklasa
P. Zawistowski,CDM; CM,58,Poland,Górnik Łęczna,Ekstraklasa
P. Zdybowicz,ST,54,Poland,Wisła Kraków,Ekstraklasa
P. Zeballos,CAM; LW,70,Paraguay,Atlético Nacional,Liga BetPlay
P. Zebli,ST,51,Côte d'Ivoire,Perugia,Serie B
P. Ziegler,CB; CDM,67,Germany,SC Paderborn 07,Bundesliga
P. Zieliński,RB,58,Poland,Śląsk Wrocław,Ekstraklasa
P. Ziereis,RB; CB; CDM,61,Germany,FC St. Pauli,2. Bundesliga
P. Zikalala,GK,62,South Africa,Orlando Pirates,Premier League
P. Zimmermann,CB,54,Germany,Viktoria Köln,3. Liga
P. Zinckernagel,LW; CF,56,Denmark,SønderjyskE,Superliga
P. Zivkov,LM,52,Serbia,Vicenza,Serie B
P. Zięba,RM; RW,52,Poland,GKS Bełchatów,Ekstraklasa
P. Zovko,GK,58,Bosnia and Herzegovina,Spezia,Serie A
P. Zubczuk,GK,63,Peru,Universitario,Primera Division
P. Zulechner,ST,66,Austria,Sport-Club Freiburg,Bundesliga
P. Zulu,LW,65,South Africa,Kaizer Chiefs,Premier League
P. Zvar,GK,54,Sweden,Mjällby,Allsvenskan
P. de Wit,CM; RM; LM,65,Germany,MSV Duisburg,2. Bundesliga
P. van Aanholt,LB,71,Netherlands,Sunderland,Premier League
P. van Amersfoort,ST,58,Netherlands,SC Heerenveen,Eredivisie
P. van Anholt,RB; LB,69,Netherlands,SC Heerenveen,Eredivisie
P. van Moorsel,CAM; CM,67,Netherlands,Sparta Rotterdam,Eredivisie
P. van Ooijen,CM,66,Netherlands,Go Ahead Eagles,Eredivisie
P. van der Vlag,GK,60,Netherlands,FC Groningen,Eredivisie
P. Álvarez,RB; LB,69,Argentina,Rosario Central,Liga Profesional
P. Åsbrink,LW; RW; CM,58,Sweden,IF Brommapojkarna,Allsvenskan
P. Ćwielong,LM; LW; RM,65,Poland,VfL Bochum 1848,2. Bundesliga
P. Čech,GK,85,Czech Republic,Chelsea,Premier League
P. Čmovš,CB,63,Czech Republic,FC Academica Clinceni,Liga 1
P. Đurin,GK,53,Croatia,Portsmouth,League One
P. Świątko,CB,52,Poland,Wisła Kraków,Ekstraklasa
P. Šafranko,ST,63,Slovakia,Sepsi OSK Sf. Gheorghe,Liga 1
P. Ševčík,CM; CAM; LM,71,Czech Republic,Slavia Praha,Fortuna Liga
P. Škuletić,ST,69,Serbia,Gençlerbirliği SK,Super Lig
P. Šteinbors,GK,64,Latvia,Górnik Zabrze,Ekstraklasa
P. Šulc,CAM; LM; RM,55,Czech Republic,Viktoria Plzeň,Fortuna Liga
P. Żemło,LM; LB,40,Poland,Wisła Kraków,Ekstraklasa
P. Żuk,RB,52,Poland,Lechia Gdańsk,Ekstraklasa
P. Żyra,CM,48,Poland,Zagłębie Lubin,Ekstraklasa
P. Žulj,CAM,62,Austria,RZ Pellets Wolfsberger AC,Bundesliga
PC,LB; LM; LW,62,Brazil,Orlando City,Major League Soccer
Pablo,CAM,53,Spain,Málaga CF,La Liga
Pablo Barrios,CM; CAM; RM,62,Spain,Atlético Madrid,La Liga
Pablo Cacharrón,GK,54,Spain,Lugo,La Liga 2
Pablo Castrín,CB,58,Spain,Lugo,La Liga 2
Pablo Cortés,RM; CAM,60,Spain,Real Zaragoza,La Liga 2
Pablo Cuñat,GK,63,Spain,Levante,La Liga 2
Pablo Durán,ST,58,Spain,Celta de Vigo,La Liga
Pablo Dyego,RB,63,Brazil,Legia Warszawa,Ekstraklasa
Pablo Felipe,ST,61,Brazil,Futebol Clube de Famalicão,Liga Portugal
Pablo Fernández,ST; RM; CF,63,Spain,Real Sporting de Gijón,La Liga
Pablo Fornals,CM; CAM; RM; LM,64,Spain,Málaga CF,La Liga
Pablo García,LB,65,Spain,Real Sporting de Gijón,La Liga 2
Pablo González,CF; ST,60,Spain,Villarreal CF,La Liga
Pablo Gozálbez,CAM; CF,64,Spain,Valencia CF,La Liga
Pablo Gálvez,ST; CAM,63,Spain,Mallorca,La Liga
Pablo Haro,CAM; RW; LW,62,Spain,Las Palmas,La Liga 2
Pablo Hernández,CAM; RM; LM,76,Spain,Rayo Vallecano,La Liga
Pablo Ibáñez,CM; CB,61,Spain,Osasuna,La Liga
Pablo Infante,LM; CAM; CF,64,Spain,SD Ponferradina,La Liga 2
Pablo Iñiguez,CB; CDM,66,Spain,Girona FC,La Liga 2
Pablo Larrea,CM,61,Spain,Villarreal CF,La Liga
Pablo Lombo,GK,62,Spain,Leganés,La Liga 2
Pablo Maffeo,RB; CB,59,Spain,Manchester City,Premier League
Pablo Martínez,CM; CAM,62,Spain,Alcorcón,La Liga 2
Pablo Marí,CB,67,Spain,Gimnàstic de Tarragona,La Liga 2
Pablo Marín,CAM,60,Spain,Real Sociedad,La Liga
Pablo Moreno,LM,61,Spain,Real Zaragoza,La Liga 2
Pablo Muñoz,CAM,60,Spain,Rayo Vallecano,La Liga
Pablo Picón,GK,60,Spain,Levante,La Liga
Pablo Pérez,CM,61,Spain,Real Sporting de Gijón,La Liga 2
Pablo Ramón,CB,60,Spain,RCD Mallorca,La Liga 2
Pablo Rey,LB,62,Spain,Lugo,La Liga 2
Pablo Rodríguez,ST,59,Spain,Lecce,Serie B
Pablo Roig,LM; RM,61,Spain,C.D. Castellón,La Liga 2
Pablo Santos,CB,66,Brazil,Clube Sport Marítimo,Liga Portugal
Pablo Sarabia,CAM; RM,70,Spain,Getafe CF,La Liga
Pablo Sánchez,RM; LM; CAM,69,Spain,Adelaide United,A-League
Pablo Tomeo,CDM,60,Spain,Huesca,La Liga 2
Pablo Torre,CAM; CM; LM,68,Spain,FC Barcelona,La Liga
Pablo Trigueros,CB,67,Spain,SD Ponferradina,La Liga 2
Pablo Valcarce,LM; CM,57,Spain,CD Numancia,La Liga 2
Pablo Valencia,GK,62,Spain,Osasuna,La Liga
Pablo Vázquez,CB; CDM,62,Spain,Córdoba,La Liga 2
Pablo Álvarez,RM; RW,63,Spain,New York City FC,Major League Soccer
Pacheco,GK,62,Spain,Real Madrid CF,La Liga
Paco Alcácer,ST; CF,76,Spain,Valencia CF,La Liga
Paco Candela,CB; CDM,62,Spain,CD Leganés,La Liga 2
Paco Montañés,LM; RM,73,Spain,CD Tenerife,La Liga 2
Paco Puertas,CB; LB,62,Spain,Fuenlabrada,La Liga 2
Padilhisco,LB; LWB; LM,73,Brazil,Grêmio,Rest of World
Paik Sang Hoon,CM,50,Korea Republic,FC Seoul,K League 1
Paik Seung Ho,CM; RW; LW,67,Korea Republic,FC Barcelona B,La Liga 2
Pak Kwang Ryong,ST,63,Korea DPR,FC Vaduz,Super League
Palanca,RM; LM,65,Spain,CD Numancia,La Liga 2
Palatsí,GK,63,Spain,Cultural Leonesa,La Liga 2
Palhinha,CDM,68,Portugal,Moreirense FC,Liga Portugal
Pallardó,CM; CDM,64,Spain,Heart of Midlothian,Premiership
Pallarés,ST; CF; LW; RW,65,Spain,UCAM Murcia CF,La Liga 2
Palmeira,CB; RB,64,Portugal,Belenenses SAD,Liga Portugal
Pan Long,GK,50,China PR,Chongqing Dangdai Lifan,Super League
Pan Ximing,CM,48,China PR,Hebei FC,Super League
Pana,CDM,60,Angola,Clube Sport Marítimo,Liga Portugal
Panadero,LM,61,Spain,Unión Deportiva Almería,La Liga 2
Pang Jiajun,GK,50,China PR,Hebei CFFC,Super League
Panutche Camará,CM; ST,58,Guinea Bissau,Crawley Town,League Two
Paolinho Leima,CB,74,Brazil,Club de Regatas Vasco da Gama,Rest of World
Paolito Serra,CB,77,Brazil,Clube Atlético Mineiro,Rest of World
Paolo Fernandes,RW; CF,61,Spain,Manchester City,Premier League
Pape,CM; CDM; CAM,66,Spain,RC Celta de Vigo,La Liga
Papu Mendes,ST,54,Portugal,Servette,Super League
Papuia,CB,51,India,FC Goa,Super League
Paraiba,RW; LW,64,Brazil,FC Paços de Ferreira,Liga Portugal
Paraíba,RW; LW,63,Brazil,FC Paços de Ferreira,Liga Portugal
Pardo,CB; CDM,67,Spain,Extremadura UD,La Liga 2
Parede,LM; RM,71,Brazil,Talleres Córdoba,Liga Profesional
Paredes,LB; CB,65,Spain,Albacete BP,La Liga 2
Parejo,CM; CAM,80,Spain,Valencia CF,La Liga
Paris Adot,RB; LB; RM,66,Spain,AD Alcorcón,La Liga 2
Park Bae Jong,GK,63,Korea Republic,Suwon,K League 1
Park Byung Hyun,RB,54,Korea Republic,Busan I'Park,K League 1
Park Chae Joon,RW,52,Korea Republic,Jeonbuk Motors,K League 1
Park Chan Yong,CB,58,Korea Republic,Pohang Steelers,K League 1
Park Chang Hwan,CM,52,Korea Republic,Incheon United,K League 1
Park Chang Jun,RB,59,Korea Republic,Gangwon,K League 1
Park Chang Woo,RB,50,Korea Republic,Jeonbuk Motors,K League 1
Park Chea Hwa,ST,53,Korea Republic,Seongnam,K League 1
Park Chu Young,ST; CAM,68,Korea Republic,,
Park Chun Ho,LB,51,Korea Republic,Gangwon,K League 1
Park Chung Hyo,GK,58,Korea Republic,Suwon FC,K League 1
Park Dae Han,RWB; RB,56,Korea Republic,Incheon United FC,K League 1
Park Dae Hoon,ST,51,Korea Republic,Daejeon Citizen,K League 1
Park Dae Won,RB,63,Korea Republic,Suwon Bluewings,K League 1
Park Dong Hyuk,CB; RB; CDM; CM,61,Korea Republic,Ulsan Hyundai FC,K League 1
Park Dong Jin,CB,50,Korea Republic,GwangJu FC,K League 1
Park Eun Chul,ST,47,Korea Republic,Pohang Steelers,K League 1
Park Geon Woo,RB,50,Korea Republic,Pohang Steelers,K League 1
Park Gi Dong,ST; CF,60,Korea Republic,Jeonnam Dragons,K League 1
Park Gun,CB; CDM,57,Korea Republic,Pohang Steelers,K League 1
Park Gwan Woo,RW,53,Korea Republic,Seongnam FC,K League 1
Park Gyung Ik,RW,47,Korea Republic,Sangju Sangmu FC,K League 1
Park Ha Bean,CAM; CM,56,Korea Republic,Ulsan,K League 1
Park Ha Ram,GK,53,Korea Republic,Jeju United,K League 1
Park Han Bin,CDM; CM,64,Korea Republic,Daegu FC,K League 1
Park Han Geun,GK,49,Korea Republic,Jeju United FC,K League 1
Park Han Keun,GK,49,Korea Republic,Jeju United,K League 1
Park Hee Chul,LB; RM; LM; RB,64,Korea Republic,Pohang Steelers,K League 1
Park Hee Do,LW; CAM; LM,64,Korea Republic,Jeonbuk Hyundai Motors,K League 1
Park Hee Geun,GK,51,Korea Republic,Gangwon,K League 1
Park Hee Seong,LB; LM; CM; CAM,57,Korea Republic,Seongnam FC,K League 1
Park Ho Min,ST,52,Korea Republic,Seoul,K League 1
Park Ho Young,CB,51,Korea Republic,Busan I'Park,K League 1
Park Hyeon bin,CAM,49,Korea Republic,Incheon United,K League 1
Park Hyeong Jin,LM,61,Korea Republic,Suwon Bluewings,K League 1
Park Hyeong Min,GK,50,Korea Republic,GwangJu FC,K League 1
Park Hyun Bem,CM; CDM,65,Korea Republic,Suwon Bluewings,K League 1
Park Hyung Soon,GK,62,Korea Republic,Suwon FC,K League 1
Park Il Gyu,GK,65,Korea Republic,Yokohama F. Marinos,J-League
Park Il Kwon,CM,52,Korea Republic,GwangJu FC,K League 1
Park Ilgyu,GK,61,Korea Republic,Yokohama F. Marinos,J-League
Park Inhyeok,ST,59,Korea Republic,FSV Frankfurt,2. Bundesliga
Park Jae Hun,CM,56,Korea Republic,Pohang Steelers,K League 1
Park Jae Hyun,RB,48,Korea Republic,Daegu,K League 1
Park Jae Kyung,CB,49,Korea Republic,Daegu,K League 1
Park Jae Min,LB,57,Korea Republic,Ulsan,K League 1
Park Jae Seong,LB; CB; RB; CDM,53,Korea Republic,Seongnam FC,K League 1
Park Jae Woo,RB,56,Korea Republic,Daejeon Citizen,K League 1
Park Jang Han Gyeol,CAM; CM,52,Korea Republic,Seoul,K League 1
Park Jeong Soo,CDM; CM,61,Korea Republic,Gwangju,K League 1
Park Jeong Su,RB,51,Korea Republic,Yokohama F. Marinos,J-League
Park Ji Min,CF,52,Korea Republic,Gyeongnam FC,K League 1
Park Ji Soo,CDM; CB,52,Korea Republic,Gyeongnam FC,K League 1
Park Ji Young,GK,53,Korea Republic,Sangju Sangmu FC,K League 1
Park Ji won,LW; RW; RM,51,Korea Republic,Seongnam FC,K League 1
Park Jin Po,RB; LB,65,Korea Republic,Seongnam FC,K League 1
Park Jin Seong,LB,49,Korea Republic,Jeonbuk Motors,K League 1
Park Jin Sub,CM; CB,56,Korea Republic,Jeonbuk Hyundai Motors,K League 1
Park Jong Jin,RM; RW; RB; LM,62,Korea Republic,Suwon Samsung Bluewings,K League 1
Park Jong Woo,CM; CDM; RM; LM,66,Korea Republic,,
Park Joo Ho,LB; CDM,73,Korea Republic,1. FSV Mainz 05,Bundesliga
Park Joo Sung,LB; LW; LWB; LM,58,Korea Republic,Gyeongnam FC,K League 1
Park Joo Won,GK,66,Korea Republic,Daejeon Citizen,K League 1
Park Joon Beom,ST,54,Korea Republic,Jeonbuk Motors,K League 1
Park Joon Hee,CDM; CM; RB; RM,58,Korea Republic,Pohang Steelers,K League 1
Park Joon Kang,RB,62,Korea Republic,Sangju Sangmu FC,K League 1
Park Ju Won,GK,52,Korea Republic,Daejeon Citizen,K League 1
Park Jun Gang,RB,60,Korea Republic,Busan IPark,K League 1
Park Jun Hee,CDM; CM; RB,58,Korea Republic,Pohang Steelers,K League 1
Park Jun Hui,RB; CAM; RM,55,Korea Republic,Pohang Steelers,K League 1
Park Jun Hyeong,CB,61,Korea Republic,Suwon Bluewings,K League 1
Park Jun Hyuk,GK,67,Korea Republic,Seongnam FC,K League 1
Park Jun Tae,CF; CAM; LW; LM,65,Korea Republic,Jeonnam Dragons,K League 1
Park Jun Young,CB,52,Korea Republic,Seoul,K League 1
Park Jung Bin,LM; ST,60,Korea Republic,Servette,Super League
Park Jung Ho,LB; CB,53,Korea Republic,Jeonbuk Motors,K League 1
Park Jung In,CAM,48,Korea Republic,Ulsan,K League 1
Park Jung Soo,CM; CDM,60,Korea Republic,Gangwon,K League 1
Park Kwang Il,RM,55,Korea Republic,Jeonnam Dragons,K League 1
Park Kyu Hyun,LB,59,Korea Republic,Werder Bremen,2. Bundesliga
Park Kyu Min,RW,51,Korea Republic,Jeonbuk Motors,K League 1
Park Kyung Bae,ST; CF,53,Korea Republic,Gangwon,K League 1
Park Kyung Min,LB; LM; RM,50,Korea Republic,Busan I'Park,K League 1
Park Min Gyu,LB,52,Korea Republic,Seoul,K League 1
Park Min Seo,CM,50,Korea Republic,Daegu,K League 1
Park Sang Hyuk,CAM; LW,60,Korea Republic,Suwon Bluewings,K League 1
Park Sang Myeong,RW,49,Korea Republic,Suwon,K League 1
Park Se Jik,RW; CAM,55,Korea Republic,Jeonbuk Hyundai Motors,K League 1
Park Se Jin,RM; RWB,60,Korea Republic,Daegu FC,K League 1
Park Seok Min,GK,57,Korea Republic,Ulsan,K League 1
Park Seon Hong,CAM,57,Korea Republic,Gwangju,K League 1
Park Seon Joo,LB; LM,58,Korea Republic,Pohang Steelers,K League 1
Park Seong Hun,CB,50,Korea Republic,Seoul,K League 1
Park Seung Il,RM; LM; CAM; LW,61,Korea Republic,Sangju Sangmu FC,K League 1
Park Seung Wook,RB; CDM,53,Korea Republic,Pohang Steelers,K League 1
Park Shin Woo,RB,49,Korea Republic,Seongnam FC,K League 1
Park Si Yun,CB,56,Korea Republic,Daegu,K League 1
Park Soo Chang,CM; RM; LM; ST,56,Korea Republic,Jeju United FC,K League 1
Park Soo Il,LB; CM; ST,54,Korea Republic,Seongnam,K League 1
Park Sun Hong,CAM; CM,57,Korea Republic,GwangJu FC,K League 1
Park Sun Joo,LW; LB; LM,56,Korea Republic,Pohang Steelers,K League 1
Park Sun Ju,LB,58,Korea Republic,Pohang Steelers,K League 1
Park Sun Yong,CDM; RB; LB; LM,59,Korea Republic,Jeonnam Dragons,K League 1
Park Sung Ho,ST; CF,66,Korea Republic,Pohang Steelers,K League 1
Park Sung Hyun,LB,50,Korea Republic,Jeonbuk Motors,K League 1
Park Sung Min,ST,55,Korea Republic,Seoul,K League 1
Park Sung Su,GK,48,Korea Republic,Daegu FC,K League 1
Park Tae Hong,CB,66,Korea Republic,Daegu FC,K League 1
Park Tae Hwan,CB,56,Korea Republic,Shonan Bellmare,J-League
Park Tae Jun,CM,53,Korea Republic,Seongnam FC,K League 1
Park Tae Min,LB; LM; RB; RM,63,Korea Republic,Incheon United FC,K League 1
Park Tae Woong,CM; CDM,62,Korea Republic,Sangju Sangmu FC,K League 1
Park Tae Youn,RB,54,Korea Republic,Ulsan Hyundai FC,K League 1
Park Won Jae,LB; LM; CM; CDM,65,Korea Republic,Jeonbuk Hyundai Motors,K League 1
Park Yi Young,RB; LB; CDM,64,Korea Republic,Türkgücü-Ataspor,3. Liga
Park Yi-Young,CDM; LB; CB,57,Korea Republic,FC St. Pauli,2. Bundesliga
Park Yo Han,RB; RWB; CB,58,Korea Republic,Gangwon FC,K League 1
Park Yong Hui,RW,51,Korea Republic,Daegu,K League 1
Park Yong Jae,CDM; CB,59,Korea Republic,Jeonnam Dragons,K League 1
Park Yong Ji,ST; CAM; CF; RM,60,Korea Republic,Busan IPark,K League 1
Park Yong Woo,CDM; CM; CB; ST,55,Korea Republic,FC Seoul,K League 1
Park Young Soo,CB,46,Korea Republic,Daejeon Citizen,K League 1
Parra,RB; RM,61,Spain,AD Alcorcón,La Liga 2
Pará,LB,64,Brazil,Cruzeiro,Rest of World
Pascoal Muscato,CDM; CM,75,Brazil,Fluminense,Rest of World
Pascu,CM; CDM,60,Spain,Valencia CF,La Liga
Pastor,RB,61,Brazil,Portimonense,Liga Portugal
Pastrana,CM,55,Spain,AD Alcorcón,La Liga 2
Patric,RB,64,Spain,FC Barcelona B,La Liga 2
Patricio Alagoano,CAM; RM; RW,70,Brazil,Fortaleza,Serie A
Patrick,CAM,56,Brazil,Gaziantepspor,Super Lig
Patrick Andrade,CAM,57,Cape Verde Islands,Moreirense FC,Liga Portugal
Patrick Luan,ST,59,Brazil,Örebro,Allsvenskan
Patrick Machado,CAM,62,Brazil,Santa Clara,Liga Portugal
Patrick William,CB,68,Brazil,Futebol Clube de Famalicão,Liga Portugal
Patrão,CM,64,Portugal,GD Chaves,Liga Portugal
Patxi Dávila,LB,60,Spain,UD Logroñés,La Liga 2
Pau,GK,57,Spain,RCD Espanyol de Barcelona,La Liga
Pau Casadesús,RB,60,Spain,FC Andorra,La Liga 2
Pau Cendrós,RB,69,Spain,RCD Mallorca,La Liga 2
Pau López,GK,70,Spain,RCD Espanyol de Barcelona,La Liga
Pau Morer,CM; CAM,54,Spain,Sandefjord Fotball,Eliteserien
Pau Resta,CB,61,Spain,Girona,La Liga 2
Pau Rosales,CB,60,Spain,Reus Deportiu,La Liga 2
Pau Torres,GK,60,Spain,Deportivo Alavés,La Liga 2
Pau Víctor,CAM,63,Spain,Girona FC,La Liga 2
Paulao,CB,64,Brazil,Al Batin,Pro League
Paulao Junqueiras,ST,71,Brazil,Internacional,Rest of World
Paulinho,ST,62,Portugal,Gil Vicente FC,Liga Portugal
Paulino,RM; CAM,64,Spain,Deportivo Alavés,La Liga
Paulito Zanon,CDM,64,Brazil,Figueirense,Rest of World
Paulo,ST,70,Brazil,Seongnam FC,K League 1
Paulo Alves,CAM,60,Portugal,Liverpool,Premier League
Paulo André,CB,74,Brazil,Cruzeiro,Rest of World
Paulo Azzi,LW; RW,68,Brazil,Modena,Serie B
Paulo Bernardo,CAM; CM,68,Portugal,SL Benfica,Liga Portugal
Paulo Cézar,ST,61,Brazil,União da Madeira,Liga Portugal
Paulo Daineiro,CAM,69,Brazil,Coritiba,Serie A
Paulo Dentello,LW; RW,57,Brazil,Spezia,Serie B
Paulo Eduardo,CB,61,Brazil,Santa Clara,Liga Portugal
Paulo Estrela,CDM,60,Portugal,Portimonense,Liga Portugal
Paulo Fajarda,CB,70,Brazil,Club Athletico Paranaense,Rest of World
Paulo Henrique,LB,62,Portugal,FC Paços de Ferreira,Liga Portugal
Paulo Jorge,CDM; CM,52,Portugal,Blackburn Rovers,Championship
Paulo Lopes,GK,71,Portugal,SL Benfica,Liga Portugal
Paulo Machado,CM; CAM; RM; LM,73,Portugal,Desportivo das Aves,Liga Portugal
Paulo Mesqueira,RB; LB; RM,69,Brazil,Internacional,Rest of World
Paulo Miranda,CB; RB,72,Brazil,FC Red Bull Salzburg,Bundesliga
Paulo Monteiro,CB,68,Portugal,União da Madeira,Liga Portugal
Paulo Nagamura,CM; CDM,64,Brazil,Sporting Kansas City,Major League Soccer
Paulo Oliveira,CB,73,Portugal,Sporting CP,Liga Portugal
Paulo Otávio,LB,65,Brazil,FC Ingolstadt 04,2. Bundesliga
Paulo Renato,CB,64,Portugal,San Jose Earthquakes,Major League Soccer
Paulo Ricardo,CB; CDM,68,Brazil,FC Sion,Super League
Paulo Roberto,CDM; CM,70,Brazil,Figueirense,Rest of World
Paulo Tavares,CM; CDM,67,Portugal,Vitória de Setúbal,Liga Portugal
Paulo Victor,GK,74,Brazil,Gaziantepspor,Super Lig
Paulo Vinícius,CB,77,Brazil,Boavista FC,Liga Portugal
Paulo Vitor,RW; ST,63,Brazil,Albacete BP,La Liga 2
Paulo Vítor,GK,63,Brazil,Rio Ave FC,Liga Portugal
Paulolettinho,CAM; RM; RW,71,Brazil,Palmeiras,Rest of World
Paulson Junqueira,CDM,62,Brazil,Joinville,Rest of World
Paulão,CB,72,Brazil,Internacional,Rest of World
Paulão Junqueiras,ST,71,Brazil,Grêmio,Serie A
Pavelinho Serra,CB,72,Brazil,América Mineiro,Serie A
Pecka,CDM,61,Brazil,Real Salt Lake,Major League Soccer
Pedraza,CAM,61,Spain,Villarreal CF,La Liga
Pedri,LM; RM; CAM,72,Spain,Las Palmas,La Liga 2
Pedrildo Rocha,CAM; LM,66,Brazil,Ponte Preta,Rest of World
Pedrinho,RB,67,Portugal,FC Lorient,Ligue 1
Pedro,GK,57,Spain,Real Betis Balompié,La Liga 2
Pedro Alemañ,CAM; CM,59,Spain,Sparta Rotterdam,Eredivisie
Pedro Amador,LWB,62,Portugal,Sporting Braga,Liga Portugal
Pedro Amaral,LB,69,Portugal,Rio Ave FC,Liga Portugal
Pedro Augusto,CDM,61,Brazil,CD Tondela,Liga Portugal
Pedro Benito,ST,60,Spain,Cádiz CF,La Liga
Pedro Bicalho,CM; CDM,64,Brazil,Santa Clara,Liga Portugal
Pedro Borges,CM,50,Portugal,Exeter City,League One
Pedro Botelho,LB; LM,72,Brazil,Clube Atlético Mineiro,Rest of World
Pedro Brazão,RW; CAM,62,Portugal,Nice,Ligue 1
Pedro Capó,CAM; CM,63,Spain,Sabadell,La Liga 2
Pedro Carneiro,CAM; RM; LM,51,Portugal,Barnsley,Championship
Pedro Carnerio,CAM; RM; LM,50,Portugal,Barnsley,League One
Pedro Cavadas,GK,61,Portugal,Belenenses SAD,Liga Portugal
Pedro Chirivella,CDM; CM; CAM,57,Spain,Liverpool,Premier League
Pedro Coronas,RW,64,Portugal,Moreirense FC,Liga Portugal
Pedro Correia,RB,63,Portugal,Vitória de Guimarães,Liga Portugal
Pedro Costa,RB; LB,62,Portugal,Boavista FC,Liga Portugal
Pedro Díaz,RM,61,Spain,Real Sporting de Gijón,La Liga
Pedro Ferreira,CDM; CM,62,Portugal,Aalborg BK,Superliga
Pedro Ganchas,CB,65,Portugal,FC Paços de Ferreira,Liga Portugal
Pedro Geromel,CB,77,Brazil,Grêmio,Rest of World
Pedro Gomes,CB,60,Portugal,Boavista,Liga Portugal
Pedro Gonçalves,CM; CDM,58,Portugal,Wolverhampton Wanderers,Championship
Pedro Goulart,ST,59,Mexico,Puebla FC,Liga MX
Pedro Henrique,LM; RM,68,Brazil,Stade Rennais FC,Ligue 1
Pedro Justiniano,CB,63,Portugal,Radomiak Radom,Ekstraklasa
Pedro Júnior,CF; LW; ST; CAM,66,Brazil,Vissel Kobe,J-League
Pedro Ken,CAM; CM; CDM,70,Brazil,Terek Grozny,Premier League
Pedro León,RM; RW; CAM,79,Spain,Getafe CF,La Liga
Pedro Lubamba,LW; RW; CF,55,Angola,Union Saint-Gilloise,Jupiler Pro League
Pedro López,RB; RM; LB,73,Spain,Levante Unión Deportiva,La Liga
Pedro Machado,CB,61,Portugal,U Craiova 1948,Liga 1
Pedro Malheiro,RB; RW,62,Portugal,Boavista,Liga Portugal
Pedro Marques,CB,58,Portugal,FC Paços de Ferreira,Liga Portugal
Pedro Martelo,ST,61,Portugal,FC Paços de Ferreira,Liga Portugal
Pedro Martín,ST; CAM,63,Spain,CD Mirandés,La Liga 2
Pedro Mateus,GK,63,Portugal,Marítimo,Liga Portugal
Pedro Mendes,CB,70,Portugal,Parma,Serie A
Pedro Miguel,RWB; CB,69,Qatar,,
Pedro Monteiro,CB,64,Portugal,SC Braga,Liga Portugal
Pedro Moreira,CM; CDM,69,Portugal,Rio Ave FC,Liga Portugal
Pedro Neto,ST,62,Portugal,Sporting Braga,Liga Portugal
Pedro Neves,LM; RM,60,Brazil,FC Cartagena,La Liga 2
Pedro Nuno,RM,61,Portugal,Associação Académica de Coimbra,Liga Portugal
Pedro Obiang,CM; CDM,73,Spain,U.C. Sampdoria,Serie A
Pedro Orfila,RB; CB,64,Spain,Racing Santander,La Liga 2
Pedro Ortiz,CM; CAM,58,Spain,Sevilla,La Liga
Pedro Pacheco,CB,56,Portugal,FC Basel 1893,Super League
Pedro Paulo,ST,65,Brazil,Rio Ave FC,Liga Portugal
Pedro Pelágio,CM,60,Portugal,Marítimo,Liga Portugal
Pedro Pereira,RB,58,Portugal,U.C. Sampdoria,Serie A
Pedro Pinto,CB,66,Portugal,Vitória de Setúbal,Liga Portugal
Pedro Porro,RB; RM; LM,61,Spain,Girona FC,La Liga
Pedro Queirós,RB,68,Portugal,Vitória de Setúbal,Liga Portugal
Pedro Raul,ST,67,Brazil,Kashiwa Reysol,J-League
Pedro Rebocho,LB,69,Portugal,Moreirense FC,Liga Portugal
Pedro Ribeiro,CB; RB,65,Portugal,FC Penafiel,Liga Portugal
Pedro Rocha,ST; LW; RW,70,Brazil,Grêmio,Rest of World
Pedro Ríos,RM; LM,70,Spain,RC Recreativo de Huelva,La Liga 2
Pedro Santos,RW; LW,71,Portugal,SC Braga,Liga Portugal
Pedro Silva,GK,65,Portugal,Sporting CP,Liga Portugal
Pedro Simões,CM,63,Portugal,Farense,Liga Portugal
Pedro Sousenha,CDM,63,Brazil,São Paulo,Serie A
Pedro Sá,CDM; CM,70,Portugal,Portimonense SC,Liga Portugal
Pedro Sánchez,RM; LM,67,Spain,Real Zaragoza,La Liga 2
Pedro Teixeira,GK,61,Portugal,Marítimo,Liga Portugal
